I,O
1,15
2,25
3,35
4,45
5,55
6,65
7,75
8,85
9,95
10,105
11,115
12,125
13,135
14,145
15,155
16,165
17,175
18,185
19,195
20,205
21,215
22,225
23,235
24,245
25,255
26,265
27,275
28,285
29,295
30,305
31,315
32,325
33,335
34,345
35,355
36,365
37,375
38,385
39,395
40,405
41,415
42,425
43,435
44,445
45,455
46,465
47,475
48,485
49,495
50,505
51,515
52,525
53,535
54,545
55,555
56,565
57,575
58,585
59,595
60,605
61,615
62,625
63,635
64,645
65,655
66,665
67,675
68,685
69,695
70,705
71,715
72,725
73,735
74,745
75,755
76,765
77,775
78,785
79,795
80,805
81,815
82,825
83,835
84,845
85,855
86,865
87,875
88,885
89,895
90,905
91,915
92,925
93,935
94,945
95,955
96,965
97,975
98,985
99,995
100,1005
